timestamp,status,facility_pool_pct,k,L,U,cost_S_L,cost_S_U,final_cost_S_I,theoretical_bound,cost_as_pct_of_bound,min_cluster_size,max_cluster_size,lower_bound_violated,num_lb_violations,upper_bound_violation_factor,all_clients_assigned
2025-08-29T04:22:19.165431,SUCCESS,0.25,125,716,994,141818.5955019794,136757.73241020596,158142.69547946614,1240941.3178754007,12.743769040603803,716,1543,0,0,1.5523138832997987,1
2025-08-29T04:22:33.812946,SUCCESS,0.25,125,716,1193,150863.93592002383,130799.84008405513,156849.50455560297,1217326.7524284336,12.884749656795547,716,1664,0,0,1.3948030176026822,1
2025-08-29T04:22:50.634574,SUCCESS,0.05,150,331,729,129357.73930913102,141920.79892883118,158997.89794199337,1252161.0711200803,12.697879019650957,331,873,0,0,1.1975308641975309,1
2025-08-29T04:23:06.827207,SUCCESS,0.05,150,331,829,127519.20783409412,137006.6885928242,153368.67153159488,1214085.2358179577,12.632446800843173,331,1099,0,0,1.3256936067551266,1
2025-08-29T04:23:23.704514,SUCCESS,0.05,150,331,994,126348.5741357521,129382.72827831825,146516.92629858543,1158376.2462197319,12.64847468831752,331,1319,0,0,1.3269617706237424,1
2025-08-29T04:23:41.853536,SUCCESS,0.05,150,497,729,132155.01172451713,140894.5272264022,156208.92581783023,1250571.7140338495,12.491001040952865,497,1141,0,0,1.5651577503429355,1
2025-08-29T04:24:00.310726,SUCCESS,0.05,150,497,829,134512.01812421944,131199.88470873062,151355.5529217766,1187423.2292095532,12.74655482548807,497,1279,0,0,1.542822677925211,1
2025-08-29T04:24:17.225552,SUCCESS,0.05,150,497,994,128226.29929755398,131325.1588713305,150365.87626067767,1175728.7106944213,12.789164276839593,497,1402,0,0,1.4104627766599598,1
2025-08-29T04:24:34.866073,SUCCESS,0.05,150,596,729,136945.94805885543,136965.07104998102,152046.4792042422,1232647.393467578,12.334953208031218,596,1273,0,0,1.7462277091906722,1
2025-08-29T04:24:52.502430,SUCCESS,0.05,150,596,829,139920.19513904853,132596.40480431222,151027.24539531773,1208015.2239082826,12.50209785491779,596,1356,0,0,1.6357056694813028,1
2025-08-29T04:25:10.017217,SUCCESS,0.05,150,596,994,140320.91562111545,127534.61380524802,150449.4637494316,1173384.127878967,12.82184241075317,596,1340,0,0,1.3480885311871227,1
2025-08-29T04:25:26.384400,SUCCESS,0.1,150,331,729,129278.17124114977,139183.08478392367,155634.64044216607,1232837.9359697653,12.624095665886689,331,874,0,0,1.1989026063100137,1
2025-08-29T04:25:42.750207,SUCCESS,0.1,150,331,829,128164.39599587709,133232.59006150268,148646.390829708,1188956.9224222729,12.502252018253893,331,1066,0,0,1.2858866103739446,1
2025-08-29T04:25:59.108584,SUCCESS,0.1,150,331,994,128703.58852953042,129066.62562814384,152188.44358152564,1160873.5564560678,13.109820853024578,331,1315,0,0,1.3229376257545271,1
2025-08-29T04:26:16.740502,SUCCESS,0.1,150,497,729,130305.13325972068,137191.64976757832,152668.54332920595,1220951.8148924895,12.504059657968494,497,1168,0,0,1.6021947873799727,1
2025-08-29T04:26:34.176699,SUCCESS,0.1,150,497,829,136265.39530057478,131222.2956723407,149705.78798540705,1191086.8603075345,12.56883884578775,497,1303,0,0,1.571773220747889,1
2025-08-29T04:26:51.892302,SUCCESS,0.1,150,497,994,161239.39966360244,129964.64895072169,149681.96660789428,1232231.3419822566,12.147229299256828,497,1352,0,0,1.3601609657947686,1
2025-08-29T04:27:09.364580,SUCCESS,0.1,150,596,729,139630.83902155867,137778.08168757093,156980.12928938778,1243708.249856114,12.621941625582126,596,1315,0,0,1.803840877914952,1
2025-08-29T04:27:26.949277,SUCCESS,0.1,150,596,829,144635.57156427912,133425.37969604117,153270.42967850526,1223248.8010008465,12.529783765420522,596,1318,0,0,1.5898673100120628,1
2025-08-29T04:27:44.548386,SUCCESS,0.1,150,596,994,139493.38602545875,126275.36165926671,152466.41093533306,1162914.3036657844,13.110717656040727,596,1547,0,0,1.556338028169014,1
2025-08-29T04:28:02.124576,SUCCESS,0.2,150,331,729,131005.30692741119,140457.9140497082,157548.5569592729,1245216.0122027798,12.652307343893726,331,1043,0,0,1.4307270233196159,1
2025-08-29T04:28:17.514356,SUCCESS,0.2,150,331,829,126073.2347850534,130544.05062401293,150328.27645864102,1165954.8239381972,12.893147605057582,331,1142,0,0,1.3775633293124245,1
2025-08-29T04:28:33.035420,SUCCESS,0.2,150,331,994,134442.16191694784,129206.00262481654,144763.87499017367,1173326.3422076115,12.337903768341269,331,1259,0,0,1.266599597585513,1
